Year,Quarter,Location,Type,Average Employment,Average Female Employment,Average Wage,Number of Establishments,Total Wages
2000,2,Vermont,"Trade, Transportation, and Utilities supersector",57673.0,24260.0,6347.0,5692.0,
2000,2,Vermont,Transportation and warehousing,6777.0,1700.0,8732.0,599.0,
2000,2,Vermont,Unspecified industry supersector,,,,,
2000,2,Vermont,Utilities,1704.0,395.0,15024.0,55.0,
2000,2,Vermont,Wholesale trade,9953.0,2773.0,9275.0,1216.0,
2000,3,Vermont,Accommodation and food services,30227.0,15833.0,3417.0,1780.0,
2000,3,Vermont,Administrative and waste services,8637.0,3340.0,5238.0,1019.0,
2000,3,Vermont,"Agriculture, forestry, fishing and hunting",2433.0,784.0,4730.0,314.0,
2000,3,Vermont,"Arts, entertainment, and recreation",4000.0,1784.0,3748.0,346.0,
2000,3,Vermont,Construction supersector,16586.0,1773.0,7603.0,2663.0,
2000,3,Vermont,Durable Goods manufacturing,34307.0,9201.0,10152.0,835.0,
2000,3,Vermont,Education and Health Services supersector,42550.0,32101.0,7029.0,2005.0,
2000,3,Vermont,Educational services,8238.0,5109.0,7519.0,261.0,
2000,3,Vermont,Federal Government,5940.0,,10586.0,609.0,
2000,3,Vermont,Finance and insurance,9388.0,6418.0,9874.0,893.0,
2000,3,Vermont,Financial Activities supersector,12523.0,7718.0,8846.0,1576.0,
2000,3,Vermont,Goods Producing domain,67020.0,16513.0,8901.0,4337.0,
2000,3,Vermont,Health care and social assistance,34312.0,26992.0,6912.0,1744.0,
2000,3,Vermont,Information supersector,6732.0,3308.0,8316.0,482.0,
2000,3,Vermont,Leisure and Hospitality supersector,34227.0,17617.0,3456.0,2126.0,
2000,3,Vermont,Local government,21348.0,17981.0,6312.0,819.0,
2000,3,Vermont,Management of companies and enterprises,297.0,135.0,10508.0,26.0,
2000,3,Vermont,Manufacturing supersector,47006.0,13836.0,9580.0,1291.0,
2000,3,Vermont,Mining,995.0,120.0,8690.0,69.0,
2000,3,Vermont,Natural Resources and Mining supersector,3428.0,904.0,5880.0,383.0,
