Year,Month,Location,Type,Employment
2008,February,Vermont,Accommodation and food services,31713.0
2008,February,Vermont,"Other services, except public administration supersector",8729.0
2008,February,Vermont,Unspecified industry supersector,
2008,February,Vermont,Federal Government,5967.0
2008,February,Vermont,State government,16954.0
2008,February,Vermont,Local government,31047.0
2009,February,Vermont,Total Covered -  all ownerships,295092.0
2009,February,Vermont,Private ownership,240502.0
2009,February,Vermont,Goods Producing domain,46771.0
2009,February,Vermont,Natural Resources and Mining supersector,2765.0
2009,February,Vermont,"Agriculture, forestry, fishing and hunting",2199.0
2009,February,Vermont,Mining,566.0
2009,February,Vermont,Construction supersector,11604.0
2009,February,Vermont,Manufacturing supersector,32402.0
2009,February,Vermont,Durable Goods manufacturing,23519.0
2009,February,Vermont,Non-Durable Goods manufacturing,8883.0
2009,February,Vermont,Service Providing domain,193731.0
2009,February,Vermont,"Trade, Transportation, and Utilities supersector",55878.0
2009,February,Vermont,Wholesale trade,9727.0
2009,February,Vermont,Retail trade,38011.0
2009,February,Vermont,Transportation and warehousing,6452.0
2009,February,Vermont,Utilities,1688.0
2009,February,Vermont,Information supersector,5567.0
2009,February,Vermont,Financial Activities supersector,12194.0
2009,February,Vermont,Finance and insurance,9153.0
2009,February,Vermont,Real estate and rental and leasing,3041.0
2009,February,Vermont,Professional and Business Services supersector,21256.0
2009,February,Vermont,Professional and technical services,13123.0
2009,February,Vermont,Management of companies and enterprises,355.0
2009,February,Vermont,Administrative and waste services,7778.0
2009,February,Vermont,Education and Health Services supersector,55527.0
2009,February,Vermont,Educational services,9846.0
2009,February,Vermont,Health care and social assistance,45681.0
2009,February,Vermont,Leisure and Hospitality supersector,34815.0
2009,February,Vermont,"Arts, entertainment, and recreation",3676.0
2009,February,Vermont,Accommodation and food services,31139.0
2009,February,Vermont,"Other services, except public administration supersector",8494.0
2009,February,Vermont,Unspecified industry supersector,
2009,February,Vermont,Federal Government,6421.0
2009,February,Vermont,State government,16596.0
2009,February,Vermont,Local government,31573.0
2010,February,Vermont,Total Covered -  all ownerships,290269.0
2010,February,Vermont,Private ownership,235748.0
2010,February,Vermont,Goods Producing domain,43781.0
2010,February,Vermont,Natural Resources and Mining supersector,2675.0
2010,February,Vermont,"Agriculture, forestry, fishing and hunting",2160.0
2010,February,Vermont,Mining,515.0
2010,February,Vermont,Construction supersector,10938.0
2010,February,Vermont,Manufacturing supersector,30168.0
2010,February,Vermont,Durable Goods manufacturing,21330.0
2010,February,Vermont,Non-Durable Goods manufacturing,8838.0
2010,February,Vermont,Service Providing domain,191967.0
2010,February,Vermont,"Trade, Transportation, and Utilities supersector",54236.0
2010,February,Vermont,Wholesale trade,9187.0
2010,February,Vermont,Retail trade,36953.0
2010,February,Vermont,Transportation and warehousing,6275.0
2010,February,Vermont,Utilities,1821.0
2010,February,Vermont,Information supersector,5402.0
2010,February,Vermont,Financial Activities supersector,11791.0
2010,February,Vermont,Finance and insurance,8941.0
2010,February,Vermont,Real estate and rental and leasing,2850.0
2010,February,Vermont,Professional and Business Services supersector,21834.0
2010,February,Vermont,Professional and technical services,13427.0
2010,February,Vermont,Management of companies and enterprises,868.0
2010,February,Vermont,Administrative and waste services,7539.0
2010,February,Vermont,Education and Health Services supersector,55516.0
2010,February,Vermont,Educational services,9550.0
2010,February,Vermont,Health care and social assistance,45966.0
2010,February,Vermont,Leisure and Hospitality supersector,34863.0
2010,February,Vermont,"Arts, entertainment, and recreation",3613.0
2010,February,Vermont,Accommodation and food services,31250.0
2010,February,Vermont,"Other services, except public administration supersector",8325.0
2010,February,Vermont,Unspecified industry supersector,
2010,February,Vermont,Federal Government,6531.0
2010,February,Vermont,State government,16183.0
2010,February,Vermont,Local government,31807.0
2011,February,Vermont,Total Covered -  all ownerships,293161.0
2011,February,Vermont,Private ownership,239185.0
2011,February,Vermont,Goods Producing domain,44586.0
2011,February,Vermont,Natural Resources and Mining supersector,2786.0
2011,February,Vermont,"Agriculture, forestry, fishing and hunting",2293.0
2011,February,Vermont,Mining,493.0
2011,February,Vermont,Construction supersector,11128.0
2011,February,Vermont,Manufacturing supersector,30672.0
2011,February,Vermont,Durable Goods manufacturing,21611.0
2011,February,Vermont,Non-Durable Goods manufacturing,9061.0
2011,February,Vermont,Service Providing domain,194599.0
2011,February,Vermont,"Trade, Transportation, and Utilities supersector",55076.0
2011,February,Vermont,Wholesale trade,9360.0
2011,February,Vermont,Retail trade,37292.0
2011,February,Vermont,Transportation and warehousing,6641.0
2011,February,Vermont,Utilities,1783.0
2011,February,Vermont,Information supersector,5242.0
2011,February,Vermont,Financial Activities supersector,11742.0
2011,February,Vermont,Finance and insurance,8855.0
2011,February,Vermont,Real estate and rental and leasing,2887.0
2011,February,Vermont,Professional and Business Services supersector,23154.0
2011,February,Vermont,Professional and technical services,13521.0
2011,February,Vermont,Management of companies and enterprises,1415.0
2011,February,Vermont,Administrative and waste services,8218.0
2011,February,Vermont,Education and Health Services supersector,55941.0
2011,February,Vermont,Educational services,9624.0
2011,February,Vermont,Health care and social assistance,46317.0
2011,February,Vermont,Leisure and Hospitality supersector,35126.0
2011,February,Vermont,"Arts, entertainment, and recreation",3571.0
2011,February,Vermont,Accommodation and food services,31555.0
2011,February,Vermont,"Other services, except public administration supersector",8318.0
2011,February,Vermont,Unspecified industry supersector,
2011,February,Vermont,Federal Government,6378.0
2011,February,Vermont,State government,16146.0
2011,February,Vermont,Local government,31452.0
2012,February,Vermont,Total Covered -  all ownerships,297032.0
2012,February,Vermont,Private ownership,243037.0
2012,February,Vermont,Goods Producing domain,46523.0
2012,February,Vermont,Natural Resources and Mining supersector,2937.0
2012,February,Vermont,"Agriculture, forestry, fishing and hunting",2394.0
2012,February,Vermont,Mining,543.0
2012,February,Vermont,Construction supersector,11947.0
2012,February,Vermont,Manufacturing supersector,31639.0
2012,February,Vermont,Durable Goods manufacturing,21717.0
2012,February,Vermont,Non-Durable Goods manufacturing,9922.0
2012,February,Vermont,Service Providing domain,196514.0
2012,February,Vermont,"Trade, Transportation, and Utilities supersector",54251.0
2012,February,Vermont,Wholesale trade,9020.0
2012,February,Vermont,Retail trade,36797.0
2012,February,Vermont,Transportation and warehousing,6605.0
2012,February,Vermont,Utilities,1829.0
2012,February,Vermont,Information supersector,4668.0
2012,February,Vermont,Financial Activities supersector,11591.0
2012,February,Vermont,Finance and insurance,8724.0
2012,February,Vermont,Real estate and rental and leasing,2867.0
2012,February,Vermont,Professional and Business Services supersector,24891.0
2012,February,Vermont,Professional and technical services,13987.0
2012,February,Vermont,Management of companies and enterprises,1935.0
2012,February,Vermont,Administrative and waste services,8969.0
2012,February,Vermont,Education and Health Services supersector,56993.0
2012,February,Vermont,Educational services,9757.0
2012,February,Vermont,Health care and social assistance,47236.0
2012,February,Vermont,Leisure and Hospitality supersector,35628.0
2012,February,Vermont,"Arts, entertainment, and recreation",3603.0
2012,February,Vermont,Accommodation and food services,32025.0
2012,February,Vermont,"Other services, except public administration supersector",8492.0
2012,February,Vermont,Unspecified industry supersector,
2012,February,Vermont,Federal Government,6407.0
2012,February,Vermont,State government,16128.0
2012,February,Vermont,Local government,31460.0
2013,February,Vermont,Total Covered -  all ownerships,299237.0
2013,February,Vermont,Private ownership,245089.0
2013,February,Vermont,Goods Producing domain,46520.0
2013,February,Vermont,Natural Resources and Mining supersector,3052.0
2013,February,Vermont,"Agriculture, forestry, fishing and hunting",2518.0
2013,February,Vermont,Mining,534.0
2013,February,Vermont,Construction supersector,11747.0
2013,February,Vermont,Manufacturing supersector,31721.0
2013,February,Vermont,Durable Goods manufacturing,21435.0
2013,February,Vermont,Non-Durable Goods manufacturing,10286.0
2013,February,Vermont,Service Providing domain,198569.0
2013,February,Vermont,"Trade, Transportation, and Utilities supersector",54154.0
2013,February,Vermont,Wholesale trade,8964.0
2013,February,Vermont,Retail trade,36812.0
2013,February,Vermont,Transportation and warehousing,6554.0
2013,February,Vermont,Utilities,1824.0
2013,February,Vermont,Information supersector,4743.0
2013,February,Vermont,Financial Activities supersector,11551.0
2013,February,Vermont,Finance and insurance,8644.0
2013,February,Vermont,Real estate and rental and leasing,2907.0
2013,February,Vermont,Professional and Business Services supersector,25091.0
2013,February,Vermont,Professional and technical services,13911.0
2013,February,Vermont,Management of companies and enterprises,1847.0
2013,February,Vermont,Administrative and waste services,9333.0
2013,February,Vermont,Education and Health Services supersector,57943.0
2013,February,Vermont,Educational services,9876.0
2013,February,Vermont,Health care and social assistance,48067.0
2013,February,Vermont,Leisure and Hospitality supersector,36626.0
2013,February,Vermont,"Arts, entertainment, and recreation",3707.0
2013,February,Vermont,Accommodation and food services,32919.0
2013,February,Vermont,"Other services, except public administration supersector",8461.0
2013,February,Vermont,Unspecified industry supersector,
2013,February,Vermont,Federal Government,6514.0
2013,February,Vermont,State government,16296.0
2013,February,Vermont,Local government,31338.0
2014,February,Vermont,Total Covered -  all ownerships,302162.0
2014,February,Vermont,Private ownership,247740.0
2014,February,Vermont,Goods Producing domain,46740.0
2014,February,Vermont,Natural Resources and Mining supersector,3148.0
2014,February,Vermont,"Agriculture, forestry, fishing and hunting",2654.0
2014,February,Vermont,Mining,494.0
2014,February,Vermont,Construction supersector,12350.0
2014,February,Vermont,Manufacturing supersector,31242.0
2014,February,Vermont,Durable Goods manufacturing,20676.0
2014,February,Vermont,Non-Durable Goods manufacturing,10566.0
2014,February,Vermont,Service Providing domain,201000.0
2014,February,Vermont,"Trade, Transportation, and Utilities supersector",54226.0
2014,February,Vermont,Wholesale trade,9024.0
2014,February,Vermont,Retail trade,36911.0
2014,February,Vermont,Transportation and warehousing,6564.0
2014,February,Vermont,Utilities,1727.0
2014,February,Vermont,Information supersector,4846.0
2014,February,Vermont,Financial Activities supersector,11635.0
2014,February,Vermont,Finance and insurance,8701.0
2014,February,Vermont,Real estate and rental and leasing,2934.0
2014,February,Vermont,Professional and Business Services supersector,25363.0
2014,February,Vermont,Professional and technical services,13677.0
2014,February,Vermont,Management of companies and enterprises,2021.0
2014,February,Vermont,Administrative and waste services,9665.0
2014,February,Vermont,Education and Health Services supersector,58513.0
2014,February,Vermont,Educational services,10184.0
2014,February,Vermont,Health care and social assistance,48329.0
2014,February,Vermont,Leisure and Hospitality supersector,37759.0
2014,February,Vermont,"Arts, entertainment, and recreation",3985.0
2014,February,Vermont,Accommodation and food services,33774.0
2014,February,Vermont,"Other services, except public administration supersector",8658.0
2014,February,Vermont,Unspecified industry supersector,
2014,February,Vermont,Federal Government,6567.0
2014,February,Vermont,State government,16595.0
2014,February,Vermont,Local government,31260.0
2015,February,Vermont,Total Covered -  all ownerships,304921.0
2015,February,Vermont,Private ownership,250327.0
2015,February,Vermont,Goods Producing domain,47047.0
2015,February,Vermont,Natural Resources and Mining supersector,3329.0
2015,February,Vermont,"Agriculture, forestry, fishing and hunting",2783.0
2015,February,Vermont,Mining,546.0
2015,February,Vermont,Construction supersector,12812.0
2015,February,Vermont,Manufacturing supersector,30906.0
2015,February,Vermont,Durable Goods manufacturing,19904.0
2015,February,Vermont,Non-Durable Goods manufacturing,11002.0
2015,February,Vermont,Service Providing domain,203280.0
2015,February,Vermont,"Trade, Transportation, and Utilities supersector",54529.0
2015,February,Vermont,Wholesale trade,9202.0
2015,February,Vermont,Retail trade,37262.0
2015,February,Vermont,Transportation and warehousing,6485.0
2015,February,Vermont,Utilities,1580.0
2015,February,Vermont,Information supersector,4466.0
2015,February,Vermont,Financial Activities supersector,11598.0
2015,February,Vermont,Finance and insurance,8744.0
2015,February,Vermont,Real estate and rental and leasing,2854.0
2015,February,Vermont,Professional and Business Services supersector,25889.0
2015,February,Vermont,Professional and technical services,14076.0
2015,February,Vermont,Management of companies and enterprises,2218.0
2015,February,Vermont,Administrative and waste services,9595.0
2015,February,Vermont,Education and Health Services supersector,59454.0
2015,February,Vermont,Educational services,10247.0
2015,February,Vermont,Health care and social assistance,49207.0
2015,February,Vermont,Leisure and Hospitality supersector,38662.0
2015,February,Vermont,"Arts, entertainment, and recreation",3940.0
2015,February,Vermont,Accommodation and food services,34722.0
2015,February,Vermont,"Other services, except public administration supersector",8682.0
2015,February,Vermont,Unspecified industry supersector,
2015,February,Vermont,Federal Government,6707.0
2015,February,Vermont,State government,16691.0
2015,February,Vermont,Local government,31196.0
2016,February,Vermont,Total Covered -  all ownerships,306091.0
2016,February,Vermont,Private ownership,251800.0
2016,February,Vermont,Goods Producing domain,46488.0
2016,February,Vermont,Natural Resources and Mining supersector,3406.0
2016,February,Vermont,"Agriculture, forestry, fishing and hunting",2859.0
2016,February,Vermont,Mining,547.0
2016,February,Vermont,Construction supersector,13016.0
2016,February,Vermont,Manufacturing supersector,30066.0
2016,February,Vermont,Durable Goods manufacturing,18983.0
2016,February,Vermont,Non-Durable Goods manufacturing,11083.0
2016,February,Vermont,Service Providing domain,205312.0
2016,February,Vermont,"Trade, Transportation, and Utilities supersector",54494.0
2016,February,Vermont,Wholesale trade,9307.0
2016,February,Vermont,Retail trade,37372.0
2016,February,Vermont,Transportation and warehousing,6382.0
2016,February,Vermont,Utilities,1433.0
2016,February,Vermont,Information supersector,4680.0
2016,February,Vermont,Financial Activities supersector,11509.0
2016,February,Vermont,Finance and insurance,8661.0
2016,February,Vermont,Real estate and rental and leasing,2848.0
2016,February,Vermont,Professional and Business Services supersector,26461.0
2016,February,Vermont,Professional and technical services,14140.0
2016,February,Vermont,Management of companies and enterprises,2116.0
2016,February,Vermont,Administrative and waste services,10205.0
2016,February,Vermont,Education and Health Services supersector,60688.0
2016,February,Vermont,Educational services,10454.0
2016,February,Vermont,Health care and social assistance,50234.0
2016,February,Vermont,Leisure and Hospitality supersector,38677.0
2016,February,Vermont,"Arts, entertainment, and recreation",3985.0
2016,February,Vermont,Accommodation and food services,34692.0
2016,February,Vermont,"Other services, except public administration supersector",8803.0
2016,February,Vermont,Unspecified industry supersector,
2016,February,Vermont,Federal Government,6821.0
2016,February,Vermont,State government,16453.0
2016,February,Vermont,Local government,31017.0
2017,February,Vermont,Total Covered -  all ownerships,305622.0
2017,February,Vermont,Private ownership,251477.0
2017,February,Vermont,Goods Producing domain,45632.0
2017,February,Vermont,Natural Resources and Mining supersector,3467.0
2017,February,Vermont,"Agriculture, forestry, fishing and hunting",2940.0
2017,February,Vermont,Mining,527.0
2017,February,Vermont,Construction supersector,13006.0
2017,February,Vermont,Manufacturing supersector,29159.0
2017,February,Vermont,Durable Goods manufacturing,18110.0
2017,February,Vermont,Non-Durable Goods manufacturing,11049.0
2017,February,Vermont,Service Providing domain,205845.0
2017,February,Vermont,"Trade, Transportation, and Utilities supersector",54004.0
2017,February,Vermont,Wholesale trade,9121.0
2017,February,Vermont,Retail trade,37166.0
2017,February,Vermont,Transportation and warehousing,6447.0
2017,February,Vermont,Utilities,1270.0
2017,February,Vermont,Information supersector,4585.0
2017,February,Vermont,Financial Activities supersector,11545.0
2017,February,Vermont,Finance and insurance,8676.0
2017,February,Vermont,Real estate and rental and leasing,2869.0
2017,February,Vermont,Professional and Business Services supersector,26866.0
2017,February,Vermont,Professional and technical services,14226.0
2017,February,Vermont,Management of companies and enterprises,2062.0
2017,February,Vermont,Administrative and waste services,10578.0
2017,February,Vermont,Education and Health Services supersector,61068.0
2017,February,Vermont,Educational services,10364.0
2017,February,Vermont,Health care and social assistance,50704.0
2017,February,Vermont,Leisure and Hospitality supersector,39318.0
2017,February,Vermont,"Arts, entertainment, and recreation",3806.0
2017,February,Vermont,Accommodation and food services,35512.0
2017,February,Vermont,"Other services, except public administration supersector",8459.0
2017,February,Vermont,Unspecified industry supersector,
2017,February,Vermont,Federal Government,6843.0
2017,February,Vermont,State government,16515.0
2017,February,Vermont,Local government,30787.0
2000,January,Vermont,Total Covered -  all ownerships,292696.0
2000,January,Vermont,Private ownership,244877.0
2000,January,Vermont,Goods Producing domain,61219.0
2000,January,Vermont,Natural Resources and Mining supersector,2646.0
2000,January,Vermont,"Agriculture, forestry, fishing and hunting",1870.0
2000,January,Vermont,Mining,776.0
2000,January,Vermont,Construction supersector,12849.0
2000,January,Vermont,Manufacturing supersector,45724.0
2000,January,Vermont,Durable Goods manufacturing,32992.0
2000,January,Vermont,Non-Durable Goods manufacturing,12732.0
2000,January,Vermont,Service Providing domain,183658.0
2000,January,Vermont,"Trade, Transportation, and Utilities supersector",57333.0
2000,January,Vermont,Wholesale trade,9780.0
2000,January,Vermont,Retail trade,39153.0
2000,January,Vermont,Transportation and warehousing,6699.0
2000,January,Vermont,Utilities,1701.0
2000,January,Vermont,Information supersector,6869.0
2000,January,Vermont,Financial Activities supersector,12690.0
2000,January,Vermont,Finance and insurance,9789.0
2000,January,Vermont,Real estate and rental and leasing,2901.0
2000,January,Vermont,Professional and Business Services supersector,19709.0
2000,January,Vermont,Professional and technical services,12002.0
2000,January,Vermont,Management of companies and enterprises,251.0
2000,January,Vermont,Administrative and waste services,7456.0
2000,January,Vermont,Education and Health Services supersector,42291.0
2000,January,Vermont,Educational services,8535.0
2000,January,Vermont,Health care and social assistance,33756.0
2000,January,Vermont,Leisure and Hospitality supersector,35264.0
2000,January,Vermont,"Arts, entertainment, and recreation",2907.0
2000,January,Vermont,Accommodation and food services,32357.0
2000,January,Vermont,"Other services, except public administration supersector",9502.0
2000,January,Vermont,Unspecified industry supersector,
2000,January,Vermont,Federal Government,5653.0
2000,January,Vermont,State government,14389.0
2000,January,Vermont,Local government,27777.0
2001,January,Vermont,Total Covered -  all ownerships,299378.0
2001,January,Vermont,Private ownership,250165.0
2001,January,Vermont,Goods Producing domain,62713.0
2001,January,Vermont,Natural Resources and Mining supersector,2778.0
2001,January,Vermont,"Agriculture, forestry, fishing and hunting",1943.0
2001,January,Vermont,Mining,835.0
2001,January,Vermont,Construction supersector,13212.0
2001,January,Vermont,Manufacturing supersector,46723.0
2001,January,Vermont,Durable Goods manufacturing,34482.0
2001,January,Vermont,Non-Durable Goods manufacturing,12241.0
2001,January,Vermont,Service Providing domain,187452.0
2001,January,Vermont,"Trade, Transportation, and Utilities supersector",58042.0
2001,January,Vermont,Wholesale trade,10058.0
2001,January,Vermont,Retail trade,39587.0
2001,January,Vermont,Transportation and warehousing,6771.0
2001,January,Vermont,Utilities,1626.0
2001,January,Vermont,Information supersector,6927.0
2001,January,Vermont,Financial Activities supersector,12616.0
2001,January,Vermont,Finance and insurance,9634.0
2001,January,Vermont,Real estate and rental and leasing,2982.0
2001,January,Vermont,Professional and Business Services supersector,20165.0
2001,January,Vermont,Professional and technical services,12477.0
2001,January,Vermont,Management of companies and enterprises,288.0
2001,January,Vermont,Administrative and waste services,7400.0
2001,January,Vermont,Education and Health Services supersector,43809.0
2001,January,Vermont,Educational services,8798.0
2001,January,Vermont,Health care and social assistance,35011.0
2001,January,Vermont,Leisure and Hospitality supersector,36152.0
2001,January,Vermont,"Arts, entertainment, and recreation",2991.0
2001,January,Vermont,Accommodation and food services,33161.0
2001,January,Vermont,"Other services, except public administration supersector",9741.0
2001,January,Vermont,Unspecified industry supersector,
2001,January,Vermont,Federal Government,5723.0
2001,January,Vermont,State government,14861.0
2001,January,Vermont,Local government,28629.0
2002,January,Vermont,Total Covered -  all ownerships,295784.0
2002,January,Vermont,Private ownership,246129.0
2002,January,Vermont,Goods Producing domain,58352.0
2002,January,Vermont,Natural Resources and Mining supersector,2543.0
2002,January,Vermont,"Agriculture, forestry, fishing and hunting",1840.0
2002,January,Vermont,Mining,703.0
2002,January,Vermont,Construction supersector,13462.0
2002,January,Vermont,Manufacturing supersector,42347.0
2002,January,Vermont,Durable Goods manufacturing,30923.0
2002,January,Vermont,Non-Durable Goods manufacturing,11424.0
2002,January,Vermont,Service Providing domain,187777.0
2002,January,Vermont,"Trade, Transportation, and Utilities supersector",58199.0
2002,January,Vermont,Wholesale trade,9960.0
2002,January,Vermont,Retail trade,39777.0
2002,January,Vermont,Transportation and warehousing,6784.0
2002,January,Vermont,Utilities,1678.0
2002,January,Vermont,Information supersector,6636.0
2002,January,Vermont,Financial Activities supersector,12742.0
2002,January,Vermont,Finance and insurance,9790.0
2002,January,Vermont,Real estate and rental and leasing,2952.0
2002,January,Vermont,Professional and Business Services supersector,19193.0
2002,January,Vermont,Professional and technical services,12023.0
2002,January,Vermont,Management of companies and enterprises,287.0
2002,January,Vermont,Administrative and waste services,6883.0
2002,January,Vermont,Education and Health Services supersector,46142.0
2002,January,Vermont,Educational services,9006.0
2002,January,Vermont,Health care and social assistance,37136.0
2002,January,Vermont,Leisure and Hospitality supersector,35597.0
2002,January,Vermont,"Arts, entertainment, and recreation",3063.0
2002,January,Vermont,Accommodation and food services,32534.0
2002,January,Vermont,"Other services, except public administration supersector",9268.0
2002,January,Vermont,Unspecified industry supersector,
2002,January,Vermont,Federal Government,5704.0
2002,January,Vermont,State government,14559.0
2002,January,Vermont,Local government,29392.0
2003,January,Vermont,Total Covered -  all ownerships,293060.0
2003,January,Vermont,Private ownership,242529.0
2003,January,Vermont,Goods Producing domain,53368.0
2003,January,Vermont,Natural Resources and Mining supersector,2471.0
2003,January,Vermont,"Agriculture, forestry, fishing and hunting",1842.0
2003,January,Vermont,Mining,629.0
2003,January,Vermont,Construction supersector,13013.0
2003,January,Vermont,Manufacturing supersector,37884.0
2003,January,Vermont,Durable Goods manufacturing,27119.0
2003,January,Vermont,Non-Durable Goods manufacturing,10765.0
2003,January,Vermont,Service Providing domain,189161.0
2003,January,Vermont,"Trade, Transportation, and Utilities supersector",57806.0
2003,January,Vermont,Wholesale trade,10188.0
2003,January,Vermont,Retail trade,39224.0
2003,January,Vermont,Transportation and warehousing,6680.0
2003,January,Vermont,Utilities,1714.0
2003,January,Vermont,Information supersector,6496.0
2003,January,Vermont,Financial Activities supersector,12736.0
2003,January,Vermont,Finance and insurance,9746.0
2003,January,Vermont,Real estate and rental and leasing,2990.0
2003,January,Vermont,Professional and Business Services supersector,19399.0
2003,January,Vermont,Professional and technical services,12001.0
2003,January,Vermont,Management of companies and enterprises,282.0
2003,January,Vermont,Administrative and waste services,7116.0
2003,January,Vermont,Education and Health Services supersector,47623.0
2003,January,Vermont,Educational services,8721.0
2003,January,Vermont,Health care and social assistance,38902.0
2003,January,Vermont,Leisure and Hospitality supersector,35939.0
2003,January,Vermont,"Arts, entertainment, and recreation",3199.0
2003,January,Vermont,Accommodation and food services,32740.0
2003,January,Vermont,"Other services, except public administration supersector",9162.0
2003,January,Vermont,Unspecified industry supersector,
2003,January,Vermont,Federal Government,6184.0
2003,January,Vermont,State government,14599.0
2003,January,Vermont,Local government,29748.0
2004,January,Vermont,Total Covered -  all ownerships,294400.0
2004,January,Vermont,Private ownership,243545.0
2004,January,Vermont,Goods Producing domain,52909.0
2004,January,Vermont,Natural Resources and Mining supersector,2530.0
2004,January,Vermont,"Agriculture, forestry, fishing and hunting",1940.0
2004,January,Vermont,Mining,590.0
2004,January,Vermont,Construction supersector,14153.0
2004,January,Vermont,Manufacturing supersector,36226.0
2004,January,Vermont,Durable Goods manufacturing,25786.0
2004,January,Vermont,Non-Durable Goods manufacturing,10440.0
2004,January,Vermont,Service Providing domain,190636.0
2004,January,Vermont,"Trade, Transportation, and Utilities supersector",57710.0
2004,January,Vermont,Wholesale trade,10140.0
2004,January,Vermont,Retail trade,39185.0
2004,January,Vermont,Transportation and warehousing,6669.0
2004,January,Vermont,Utilities,1716.0
2004,January,Vermont,Information supersector,6435.0
2004,January,Vermont,Financial Activities supersector,13021.0
2004,January,Vermont,Finance and insurance,9869.0
2004,January,Vermont,Real estate and rental and leasing,3152.0
2004,January,Vermont,Professional and Business Services supersector,19957.0
2004,January,Vermont,Professional and technical services,12152.0
2004,January,Vermont,Management of companies and enterprises,282.0
2004,January,Vermont,Administrative and waste services,7523.0
2004,January,Vermont,Education and Health Services supersector,48740.0
2004,January,Vermont,Educational services,8959.0
2004,January,Vermont,Health care and social assistance,39781.0
2004,January,Vermont,Leisure and Hospitality supersector,35511.0
2004,January,Vermont,"Arts, entertainment, and recreation",3240.0
2004,January,Vermont,Accommodation and food services,32271.0
2004,January,Vermont,"Other services, except public administration supersector",9262.0
2004,January,Vermont,Unspecified industry supersector,
2004,January,Vermont,Federal Government,6291.0
2004,January,Vermont,State government,15064.0
2004,January,Vermont,Local government,29500.0
2005,January,Vermont,Total Covered -  all ownerships,298136.0
2005,January,Vermont,Private ownership,246411.0
2005,January,Vermont,Goods Producing domain,53522.0
2005,January,Vermont,Natural Resources and Mining supersector,2551.0
2005,January,Vermont,"Agriculture, forestry, fishing and hunting",1973.0
2005,January,Vermont,Mining,578.0
2005,January,Vermont,Construction supersector,14419.0
2005,January,Vermont,Manufacturing supersector,36552.0
2005,January,Vermont,Durable Goods manufacturing,26224.0
2005,January,Vermont,Non-Durable Goods manufacturing,10328.0
2005,January,Vermont,Service Providing domain,192889.0
2005,January,Vermont,"Trade, Transportation, and Utilities supersector",58834.0
2005,January,Vermont,Wholesale trade,9955.0
2005,January,Vermont,Retail trade,40101.0
2005,January,Vermont,Transportation and warehousing,7082.0
2005,January,Vermont,Utilities,1696.0
2005,January,Vermont,Information supersector,6261.0
2005,January,Vermont,Financial Activities supersector,12793.0
2005,January,Vermont,Finance and insurance,9607.0
2005,January,Vermont,Real estate and rental and leasing,3186.0
2005,January,Vermont,Professional and Business Services supersector,20828.0
2005,January,Vermont,Professional and technical services,12560.0
2005,January,Vermont,Management of companies and enterprises,283.0
2005,January,Vermont,Administrative and waste services,7985.0
2005,January,Vermont,Education and Health Services supersector,50350.0
2005,January,Vermont,Educational services,9237.0
2005,January,Vermont,Health care and social assistance,41113.0
2005,January,Vermont,Leisure and Hospitality supersector,34915.0
2005,January,Vermont,"Arts, entertainment, and recreation",3283.0
2005,January,Vermont,Accommodation and food services,31632.0
2005,January,Vermont,"Other services, except public administration supersector",8908.0
2005,January,Vermont,Unspecified industry supersector,
2005,January,Vermont,Federal Government,6114.0
2005,January,Vermont,State government,15442.0
2005,January,Vermont,Local government,30169.0
2006,January,Vermont,Total Covered -  all ownerships,300977.0
2006,January,Vermont,Private ownership,248334.0
2006,January,Vermont,Goods Producing domain,53522.0
2006,January,Vermont,Natural Resources and Mining supersector,2612.0
2006,January,Vermont,"Agriculture, forestry, fishing and hunting",2021.0
2006,January,Vermont,Mining,591.0
2006,January,Vermont,Construction supersector,14914.0
2006,January,Vermont,Manufacturing supersector,35996.0
2006,January,Vermont,Durable Goods manufacturing,25917.0
2006,January,Vermont,Non-Durable Goods manufacturing,10079.0
2006,January,Vermont,Service Providing domain,194812.0
2006,January,Vermont,"Trade, Transportation, and Utilities supersector",58761.0
2006,January,Vermont,Wholesale trade,10198.0
2006,January,Vermont,Retail trade,39921.0
2006,January,Vermont,Transportation and warehousing,6927.0
2006,January,Vermont,Utilities,1715.0
2006,January,Vermont,Information supersector,6098.0
2006,January,Vermont,Financial Activities supersector,12910.0
2006,January,Vermont,Finance and insurance,9695.0
2006,January,Vermont,Real estate and rental and leasing,3215.0
2006,January,Vermont,Professional and Business Services supersector,21515.0
2006,January,Vermont,Professional and technical services,13013.0
2006,January,Vermont,Management of companies and enterprises,287.0
2006,January,Vermont,Administrative and waste services,8215.0
2006,January,Vermont,Education and Health Services supersector,51179.0
2006,January,Vermont,Educational services,9304.0
2006,January,Vermont,Health care and social assistance,41875.0
2006,January,Vermont,Leisure and Hospitality supersector,35594.0
2006,January,Vermont,"Arts, entertainment, and recreation",3471.0
2006,January,Vermont,Accommodation and food services,32123.0
2006,January,Vermont,"Other services, except public administration supersector",8755.0
2006,January,Vermont,Unspecified industry supersector,
2006,January,Vermont,Federal Government,6050.0
2006,January,Vermont,State government,15686.0
2006,January,Vermont,Local government,30907.0
2007,January,Vermont,Total Covered -  all ownerships,301312.0
2007,January,Vermont,Private ownership,248390.0
2007,January,Vermont,Goods Producing domain,53535.0
