Year,Month,Location,Type,Employment
2003,April,Vermont,Durable Goods manufacturing,27134.0
2003,April,Vermont,Non-Durable Goods manufacturing,10532.0
2003,April,Vermont,Service Providing domain,183032.0
2003,April,Vermont,"Trade, Transportation, and Utilities supersector",56835.0
2003,April,Vermont,Wholesale trade,10148.0
2003,April,Vermont,Retail trade,38431.0
2003,April,Vermont,Transportation and warehousing,6537.0
2003,April,Vermont,Utilities,1719.0
2003,April,Vermont,Information supersector,6490.0
2003,April,Vermont,Financial Activities supersector,12743.0
2003,April,Vermont,Finance and insurance,9833.0
2003,April,Vermont,Real estate and rental and leasing,2910.0
2003,April,Vermont,Professional and Business Services supersector,20018.0
2003,April,Vermont,Professional and technical services,12273.0
2003,April,Vermont,Management of companies and enterprises,292.0
2003,April,Vermont,Administrative and waste services,7453.0
2003,April,Vermont,Education and Health Services supersector,48421.0
2003,April,Vermont,Educational services,9315.0
2003,April,Vermont,Health care and social assistance,39106.0
2003,April,Vermont,Leisure and Hospitality supersector,29224.0
2003,April,Vermont,"Arts, entertainment, and recreation",3021.0
2003,April,Vermont,Accommodation and food services,26203.0
2003,April,Vermont,"Other services, except public administration supersector",9301.0
2003,April,Vermont,Unspecified industry supersector,
2003,April,Vermont,Federal Government,6213.0
2003,April,Vermont,State government,15354.0
2003,April,Vermont,Local government,30061.0
2004,April,Vermont,Total Covered -  all ownerships,293931.0
2004,April,Vermont,Private ownership,241590.0
2004,April,Vermont,Goods Producing domain,55208.0
2004,April,Vermont,Natural Resources and Mining supersector,2995.0
2004,April,Vermont,"Agriculture, forestry, fishing and hunting",2214.0
2004,April,Vermont,Mining,781.0
2004,April,Vermont,Construction supersector,15713.0
2004,April,Vermont,Manufacturing supersector,36500.0
2004,April,Vermont,Durable Goods manufacturing,26108.0
2004,April,Vermont,Non-Durable Goods manufacturing,10392.0
2004,April,Vermont,Service Providing domain,186382.0
2004,April,Vermont,"Trade, Transportation, and Utilities supersector",57670.0
2004,April,Vermont,Wholesale trade,10228.0
2004,April,Vermont,Retail trade,39123.0
2004,April,Vermont,Transportation and warehousing,6599.0
2004,April,Vermont,Utilities,1720.0
2004,April,Vermont,Information supersector,6376.0
2004,April,Vermont,Financial Activities supersector,12829.0
2004,April,Vermont,Finance and insurance,9725.0
2004,April,Vermont,Real estate and rental and leasing,3104.0
2004,April,Vermont,Professional and Business Services supersector,21421.0
2004,April,Vermont,Professional and technical services,12615.0
2004,April,Vermont,Management of companies and enterprises,315.0
2004,April,Vermont,Administrative and waste services,8491.0
2004,April,Vermont,Education and Health Services supersector,49602.0
2004,April,Vermont,Educational services,9076.0
2004,April,Vermont,Health care and social assistance,40526.0
2004,April,Vermont,Leisure and Hospitality supersector,29235.0
2004,April,Vermont,"Arts, entertainment, and recreation",3126.0
2004,April,Vermont,Accommodation and food services,26109.0
2004,April,Vermont,"Other services, except public administration supersector",9249.0
2004,April,Vermont,Unspecified industry supersector,
2004,April,Vermont,Federal Government,6300.0
2004,April,Vermont,State government,15771.0
2004,April,Vermont,Local government,30270.0
2005,April,Vermont,Total Covered -  all ownerships,297222.0
2005,April,Vermont,Private ownership,244340.0
2005,April,Vermont,Goods Producing domain,55033.0
2005,April,Vermont,Natural Resources and Mining supersector,2879.0
2005,April,Vermont,"Agriculture, forestry, fishing and hunting",2198.0
2005,April,Vermont,Mining,681.0
2005,April,Vermont,Construction supersector,15440.0
2005,April,Vermont,Manufacturing supersector,36714.0
2005,April,Vermont,Durable Goods manufacturing,26440.0
2005,April,Vermont,Non-Durable Goods manufacturing,10274.0
2005,April,Vermont,Service Providing domain,189307.0
2005,April,Vermont,"Trade, Transportation, and Utilities supersector",58244.0
2005,April,Vermont,Wholesale trade,9943.0
2005,April,Vermont,Retail trade,39766.0
2005,April,Vermont,Transportation and warehousing,6840.0
2005,April,Vermont,Utilities,1695.0
2005,April,Vermont,Information supersector,6174.0
2005,April,Vermont,Financial Activities supersector,12746.0
2005,April,Vermont,Finance and insurance,9609.0
2005,April,Vermont,Real estate and rental and leasing,3137.0
2005,April,Vermont,Professional and Business Services supersector,21731.0
2005,April,Vermont,Professional and technical services,12793.0
2005,April,Vermont,Management of companies and enterprises,325.0
2005,April,Vermont,Administrative and waste services,8613.0
2005,April,Vermont,Education and Health Services supersector,50924.0
2005,April,Vermont,Educational services,9256.0
2005,April,Vermont,Health care and social assistance,41668.0
